symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,strategy,risk_pct,sl_pct,tp_pct,timeframe,hold_time_minutes
PLUG,2023-10-11 14:33:00+00:00,2023-10-11 14:50:00+00:00,7.64,7.4872,654,-99.93120000000003,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,17.0
PLUG,2023-11-03 14:00:00+00:00,2023-11-03 14:32:00+00:00,6.915,6.7767,722,-99.85260000000007,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,32.0
PLUG,2023-11-09 15:32:00+00:00,2023-11-09 18:08:00+00:00,6.23,6.1054,800,-99.68000000000004,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,156.0
PLUG,2023-11-10 14:40:00+00:00,2023-11-10 14:44:00+00:00,3.93,4.02825,1268,124.58099999999965,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,4.0
PLUG,2023-11-13 14:50:00+00:00,2023-11-13 14:55:00+00:00,3.51,3.4397999999999995,1422,-99.82440000000037,-2.000000000000013,stop_loss,GapAndGo,5.0,2.0,2.5,1m,5.0
PLUG,2023-11-14 14:42:00+00:00,2023-11-14 14:56:00+00:00,3.845,3.941125,1296,124.57799999999973,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,14.0
PLUG,2023-11-15 14:42:00+00:00,2023-11-15 14:53:00+00:00,4.575,4.4835,1091,-99.82649999999991,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,11.0
PLUG,2023-12-05 15:34:00+00:00,2023-12-05 16:08:00+00:00,4.56,4.6739999999999995,1093,124.60199999999986,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,34.0
PLUG,2023-12-06 15:32:00+00:00,2023-12-06 15:51:00+00:00,4.085,4.187125,1222,124.79675000000003,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,19.0
PLUG,2023-12-14 14:44:00+00:00,2023-12-14 14:47:00+00:00,4.88,4.7824,1024,-99.9423999999999,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,3.0
PLUG,2023-12-19 15:33:00+00:00,2023-12-19 17:18:00+00:00,4.43,4.341399999999999,1127,-99.85220000000051,-2.000000000000013,stop_loss,GapAndGo,5.0,2.0,2.5,1m,105.0
PLUG,2023-12-22 15:33:00+00:00,2023-12-22 16:37:00+00:00,4.355,4.463875,1145,124.6618749999993,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,64.0
