2025-09-30 23:11:18 | INFO | backtest | Loaded 1166 bars for AAPL
2025-09-30 23:11:18 | INFO | backtest | Loaded 1088 bars for MSFT
2025-09-30 23:11:18 | INFO | backtest | Backtest done: trades=1 win_rate=0.00% total_pl=-999.88
2025-10-01 01:16:47 | INFO | backtest | Loaded 1166 bars for AAPL
2025-10-01 01:16:47 | INFO | backtest | Loaded 1088 bars for MSFT
2025-10-01 01:16:47 | INFO | backtest | Backtest done: trades=1 win_rate=0.00% total_pl=-999.88
2025-10-01 02:15:40 | INFO | backtest | Loaded 288727 bars for AAPL
2025-10-01 02:18:32 | INFO | backtest | Loaded 97797 bars for AAPL
2025-10-01 02:18:45 | INFO | backtest | Loaded 96572 bars for MSFT
2025-10-01 02:18:47 | INFO | backtest | Backtest done: trades=1251 win_rate=34.13% total_pl=18982.55
2025-10-01 02:55:52 | INFO | backtest | Loaded 65167 bars for AAPL
2025-10-01 02:56:01 | INFO | backtest | Loaded 64248 bars for MSFT
2025-10-01 02:56:02 | INFO | backtest | Backtest done: trades=759 win_rate=34.65% total_pl=24993.00
2025-10-01 03:06:37 | INFO | backtest | Loaded 192538 bars for AAPL
2025-10-01 03:07:14 | INFO | backtest | Loaded 175327 bars for MSFT
2025-10-01 03:07:17 | INFO | backtest | Backtest done: trades=809 win_rate=33.13% total_pl=-12202.61
2025-10-01 03:13:14 | INFO | backtest | Loaded 192538 bars for AAPL
2025-10-01 03:13:54 | INFO | backtest | Loaded 175327 bars for MSFT
2025-10-01 03:13:57 | INFO | backtest | Backtest done: trades=809 win_rate=33.13% total_pl=-12202.61
2025-10-01 10:57:45 | INFO | backtest | Loaded 0 bars for AAPL
2025-10-01 10:57:45 | INFO | backtest | Loaded 0 bars for MSFT
2025-10-01 10:57:45 | INFO | backtest | Backtest done: trades=0 win_rate=0.00% total_pl=0.00
2025-10-02 17:11:59 | INFO | backtest | Loaded 0 bars for AAPL
2025-10-02 17:11:59 | INFO | backtest | Loaded 0 bars for MSFT
2025-10-02 17:11:59 | INFO | backtest | Backtest done: trades=0 win_rate=0.00% total_pl=0.00
2025-10-02 17:12:27 | INFO | backtest | Loaded 0 bars for AAPL
2025-10-02 17:12:27 | INFO | backtest | Loaded 0 bars for MSFT
2025-10-02 17:12:27 | INFO | backtest | Backtest done: trades=0 win_rate=0.00% total_pl=0.00
2025-10-02 17:12:45 | INFO | backtest | Loaded 0 bars for AAPL
2025-10-02 17:12:45 | INFO | backtest | Loaded 0 bars for MSFT
2025-10-02 17:12:45 | INFO | backtest | Backtest done: trades=0 win_rate=0.00% total_pl=0.00
2025-10-02 22:12:22 | INFO | backtest | Loaded 24 bars for AAPL
2025-10-02 22:15:01 | INFO | backtest | Loaded 24 bars for AAPL
2025-10-02 22:31:17 | INFO | backtest | Loaded 0 bars for AAPL
2025-10-02 22:31:25 | INFO | backtest | Loaded 0 bars for MSFT
2025-10-02 22:31:25 | INFO | backtest | Backtest done: trades=0 win_rate=0.00% total_pl=0.00
